feature,score
OverallQual,0.5491993368997404
GrLivArea,0.109870031882958
TotalBsmtSF,0.04535067289898907
GarageCars,0.044889876725023016
1stFlrSF,0.022951743860762853
GarageArea,0.022058876795127625
BsmtFinSF1,0.021776850033808425
YearBuilt,0.016401541843123105
LotArea,0.01346973188840647
OverallCond,0.011340140958804892
GarageYrBlt,0.00821117936382573
YearRemodAdd,0.008179347582726896
2ndFlrSF,0.0065087518332425124
CentralAir_Y,0.006177090294935553
CentralAir_N,0.005415201553883789
BsmtUnfSF,0.005400104259931201
OpenPorchSF,0.004032053515566708
MSZoning_RM,0.0038772561499154585
MSZoning_C (all),0.003598812510342882
GarageType_Detchd,0.0035095935019777073
MoSold,0.0032377282010944307
FireplaceQu_None,0.0031418338150655967
Fireplaces,0.0030976435960695797
WoodDeckSF,0.003055954171108568
MasVnrArea,0.002843315966201382
TotRmsAbvGrd,0.0025431646493322417
GarageType_Attchd,0.0024334622005316785
FullBath,0.0021042585553546532
BsmtQual_Gd,0.001924690879779402
MSSubClass,0.001905737430637739
BedroomAbvGr,0.001684915036792545
GarageFinish_Unf,0.0016682017248133285
BsmtQual_Ex,0.001638429400491596
YrSold,0.0015020596892387037
EnclosedPorch,0.001438642741379246
KitchenAbvGr,0.0014347144245946475
LotShape_Reg,0.0011723854555767794
HalfBath,0.001107298365990736
ExterCond_Fa,0.0010248535293625736
BsmtFullBath,0.0009886226496798524
KitchenQual_TA,0.0009528240788079179
KitchenQual_Gd,0.0009305700595823956
KitchenQual_Ex,0.0009300214734166285
SaleCondition_Abnorml,0.0008604928372579978
PavedDrive_N,0.0007943085073428105
MSZoning_RL,0.0007915451002726504
BsmtExposure_Gd,0.0007688003496733796
Neighborhood_Crawfor,0.0007529892497792634
Neighborhood_Edwards,0.0007322800721927996
LandContour_Bnk,0.000713130685682963
GarageQual_TA,0.0007116610743140754
SaleCondition_Family,0.0007015855719856003
ExterQual_TA,0.0006997066136383576
Exterior1st_VinylSd,0.0006920848421357091
BsmtQual_TA,0.0006757907896992047
Exterior2nd_VinylSd,0.0006638248901564994
HeatingQC_Fa,0.0006398873279388602
BsmtExposure_No,0.0006365503153496548
SaleCondition_Normal,0.0006321150329290587
Condition1_Norm,0.0005875452924302773
Functional_Typ,0.0005623977860673831
GarageFinish_Fin,0.0005330569441537626
FireplaceQu_Gd,0.000530342410727168
Neighborhood_OldTown,0.0005286607964399777
BsmtFinType1_GLQ,0.0005126123388346553
