feature,score
Exterior2nd_Wd Shng,9.025534613560208e-05
MiscVal,8.72588686131997e-05
Electrical_FuseF,8.712867208703168e-05
Neighborhood_NWAmes,8.458067496375732e-05
Neighborhood_ClearCr,8.253802503168659e-05
Exterior1st_CemntBd,8.247408445946389e-05
Neighborhood_NoRidge,8.03089515475827e-05
Condition1_PosN,7.854243120213786e-05
GarageFinish_None,7.704652390171793e-05
Neighborhood_Mitchel,7.684185951156014e-05
SaleCondition_Alloca,7.528742602249099e-05
RoofStyle_Flat,7.390817409634523e-05
Exterior1st_Stucco,7.363311196957726e-05
SaleType_COD,7.039011241599974e-05
BldgType_Twnhs,7.023280450434433e-05
LotShape_IR2,6.587534159126291e-05
FireplaceQu_Ex,6.458737979282079e-05
Neighborhood_SawyerW,6.291513233016567e-05
Street_Pave,6.206171954489443e-05
Neighborhood_SWISU,6.133169345334229e-05
Neighborhood_MeadowV,6.0062490079921315e-05
LotShape_IR3,5.620687711016091e-05
BsmtFinType2_Rec,5.5562729585852054e-05
Exterior2nd_AsbShng,5.513261167594455e-05
BldgType_TwnhsE,5.488030541217418e-05
Heating_GasA,5.4227175645630244e-05
BsmtCond_None,5.358766631082649e-05
Condition2_PosN,5.126754757076344e-05
Neighborhood_Timber,5.02258726994864e-05
Functional_Min2,4.981844019951882e-05
BsmtFinType2_LwQ,4.9412514203416304e-05
GarageType_Basment,4.938218444475115e-05
MiscFeature_Shed,4.7867487271563865e-05
MSZoning_FV,4.657821855819351e-05
MSZoning_RH,4.4499048705708725e-05
SaleType_ConLD,4.2888420466248604e-05
Condition1_RRAn,4.0420444998116205e-05
Functional_Maj1,3.689325207403866e-05
Condition2_Feedr,3.6556698590356495e-05
BsmtFinType1_None,3.637252882763257e-05
LandSlope_Sev,3.5903286746783265e-05
BsmtQual_None,3.539922178025455e-05
Foundation_Slab,3.462406589893833e-05
Exterior1st_WdShing,3.4029987506666997e-05
BldgType_2fmCon,3.329004246984035e-05
Exterior1st_AsbShng,3.2284391575662965e-05
Functional_Sev,3.128412332900426e-05
Electrical_FuseP,3.0623499150064544e-05
Neighborhood_NPkVill,3.0073337459702653e-05
LotConfig_FR3,3.0010214516603264e-05
HouseStyle_2.5Unf,2.9861170129529738e-05
BsmtExposure_None,2.971159650091396e-05
FireplaceQu_Fa,2.800929866782689e-05
RoofMatl_ClyTile,2.4105938865961684e-05
GarageCond_Gd,2.3839133660743697e-05
BsmtFinType2_None,2.3573007618195282e-05
BsmtFinType2_ALQ,2.2343970673242328e-05
Street_Grvl,2.150578661051799e-05
HouseStyle_SFoyer,1.9263857960549487e-05
Heating_OthW,1.8071676572090287e-05
SaleType_CWD,1.7979996196166227e-05
Neighborhood_Blmngtn,1.745347759625699e-05
HouseStyle_2.5Fin,1.676219118919092e-05
GarageQual_Po,1.655067608557172e-05
RoofMatl_Tar&Grv,1.60005823376417e-05
Heating_GasW,1.5968550201963935e-05
SaleCondition_AdjLand,1.5458105074897876e-05
HouseStyle_1.5Unf,1.473586459047506e-05
GarageCond_Po,1.401422488946387e-05
GarageQual_Gd,1.2207059160134186e-05
Fence_MnWw,1.1497641123092082e-05
Exterior2nd_AsphShn,1.1398391632663206e-05
Neighborhood_Veenker,9.321192919325376e-06
Condition1_PosA,8.65230680330913e-06
GarageType_2Types,8.213427772946715e-06
Neighborhood_BrDale,8.114199997204962e-06
BsmtFinType2_GLQ,7.622636630465055e-06
SaleType_ConLI,7.215797804015979e-06
Exterior2nd_ImStucc,7.004991035201614e-06
SaleType_Oth,6.632389828298505e-06
Exterior1st_AsphShn,6.630043014084683e-06
Neighborhood_Blueste,6.511907243146209e-06
Condition2_Artery,6.277692955678163e-06
Electrical_Mix,5.999189367142012e-06
SaleType_ConLw,5.966756779544587e-06
RoofMatl_Metal,5.9166264081977546e-06
BsmtCond_Po,5.422787720303777e-06
Condition2_RRNn,4.9053930559771884e-06
MiscFeature_Othr,4.7139253015587775e-06
ExterCond_Po,4.705774691065679e-06
Condition1_RRNn,4.565794744191488e-06
Foundation_Stone,4.321049183387067e-06
Condition2_PosA,4.012205877537379e-06
SaleType_Con,3.6134352814967018e-06
Exterior1st_Stone,3.079652544379521e-06
Exterior2nd_Other,3.0032592090730115e-06
Exterior2nd_Stone,2.998970648161965e-06
RoofMatl_WdShngl,2.962055074389926e-06
MiscFeature_Gar2,2.1580217278928774e-06
RoofMatl_WdShake,2.061851601275976e-06
Heating_Floor,1.9492509965493824e-06
Foundation_Wood,1.66081728849495e-06
RoofStyle_Shed,1.6543491315463765e-06
RoofStyle_Mansard,1.6130354161625257e-06
ExterCond_Ex,1.5244878575960536e-06
RoofMatl_Membran,1.5042277738472504e-06
GarageQual_Ex,1.3572785312293681e-06
Heating_Wall,1.3018302401606269e-06
Condition2_RRAe,7.347656196100213e-07
Condition1_RRNe,6.888117055414897e-07
MiscFeature_TenC,5.961129270168262e-07
Exterior2nd_CBlock,3.2812663838583573e-07
GarageCond_Ex,2.910921625045815e-07
Exterior1st_ImStucc,2.399377995043548e-07
RoofMatl_Roll,1.0900779004395696e-07
Exterior1st_CBlock,7.645283570669952e-08
Condition2_RRAn,5.466217672017985e-08
HeatingQC_Po,2.4724617939711697e-08
